date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
1/1/2015,0:54:57,150225,3.1.1,x86_64,mingw32,digest,0.6.7,US,19
1/1/2015,0:54:58,33565,3.1.1,x86_64,mingw32,highr,0.4,US,19
1/1/2015,0:54:59,75605,3.1.1,x86_64,mingw32,stringr,0.6.2,US,19
1/1/2015,0:55:00,769478,3.1.1,x86_64,mingw32,knitr,1.8,US,19
1/1/2015,0:55:02,230164,3.1.1,x86_64,mingw32,caTools,1.17.1,US,19
1/1/2015,0:57:14,1636480,3.1.1,x86_64,mingw32,pastecs,1.3-18,US,23
1/1/2015,0:56:42,5892,NA,NA,NA,ds,2,FR,29
1/1/2015,0:57:24,11482638,3.1.1,x86_64,mingw32,BH,1.55.0-1,JP,30
1/1/2015,0:57:25,150230,3.1.1,x86_64,mingw32,digest,0.6.7,JP,30
1/1/2015,0:57:25,388355,3.1.1,x86_64,mingw32,httr,0.6.0,JP,30
1/1/2015,0:57:26,36164,3.1.1,x86_64,mingw32,manipulate,1.0.1,JP,30
1/1/2015,0:57:26,456487,3.1.1,x86_64,mingw32,quantmod,0.4-3,JP,30
1/1/2015,0:57:29,1286575,3.1.1,x86_64,mingw32,rmarkdown,0.4.2,JP,30
1/1/2015,0:57:37,13437321,3.1.1,x86_64,mingw32,stringi,0.4-1,JP,30
1/1/2015,0:57:39,499121,3.1.1,x86_64,mingw32,astsa,1.3,CA,31
1/1/2015,0:56:47,512,NA,NA,NA,plugdensity,0.8-3,CN,9
1/1/2015,0:56:48,514,NA,NA,NA,plumbr,0.6.9,CN,9
1/1/2015,0:56:50,155089,NA,NA,NA,plumbr,0.6.9,CN,9
1/1/2015,0:56:51,515,NA,NA,NA,plus,1,CN,9
1/1/2015,0:56:52,512,NA,NA,NA,plusser,0.4-0,CN,9
1/1/2015,0:56:52,57516,NA,NA,NA,plusser,0.4-0,CN,9
1/1/2015,0:56:53,516,NA,NA,NA,plyr,1.8.1,CN,9
1/1/2015,0:57:17,1150910,NA,NA,NA,plyr,1.8.1,CN,9
1/1/2015,0:57:19,512,NA,NA,NA,pmcgd,1.1,CN,9
1/1/2015,0:57:20,48094,NA,NA,NA,pmcgd,1.1,CN,9
1/1/2015,0:57:21,514,NA,NA,NA,pmg,0.9-43,CN,9
1/1/2015,0:57:25,220036,NA,NA,NA,pmg,0.9-43,CN,9
1/1/2015,0:57:27,512,NA,NA,NA,pmlr,1,CN,9
1/1/2015,0:57:27,512,NA,NA,NA,pmmlTransformations,1.2.2,CN,9
1/1/2015,0:57:28,58482,NA,NA,NA,pmmlTransformations,1.2.2,CN,9
1/1/2015,0:57:30,514,NA,NA,NA,pmml,1.4.2,CN,9
1/1/2015,0:57:32,184442,NA,NA,NA,pmml,1.4.2,CN,9
1/1/2015,0:57:33,513,NA,NA,NA,pmr,1.2.4,CN,9
1/1/2015,0:57:33,514,NA,NA,NA,png,0.1-7,CN,9
